"Fecha/Hora";"Precipitacion (mm)";"Temperatura (ºC)";"Humedad (%)";"Dir. Del Viento (º)";"Int. del Viento (m/s)"
24/10/2022 23:00:00;0,00;17,70;60,10;32,70;4,20
24/10/2022 22:00:00;0,00;18,50;55,80;23,20;4,10
24/10/2022 21:00:00;0,00;18,90;53,20;18,30;3,50
24/10/2022 20:00:00;0,00;19,10;50,60;22,30;3,20
24/10/2022 19:00:00;0,00;19,90;46,50;18,50;3,50
24/10/2022 18:00:00;0,00;21,10;44,00;24,40;3,30
24/10/2022 17:00:00;0,00;21,80;43,50;30,90;3,50
24/10/2022 16:00:00;0,00;22,10;45,50;27,20;3,50
24/10/2022 15:00:00;0,00;21,20;49,50;33,80;3,50
24/10/2022 14:00:00;0,00;20,50;54,30;32,80;4,20
24/10/2022 13:00:00;0,00;19,40;60,90;26,20;4,20
24/10/2022 12:00:00;0,00;17,90;68,30;35,40;4,40
24/10/2022 11:00:00;0,00;15,30;86,60;39,50;5,10
24/10/2022 10:00:00;0,00;12,50;99,80;32,00;5,40
24/10/2022 09:00:00;0,00;11,60;100,00;32,70;6,50
24/10/2022 08:00:00;0,00;11,60;100,00;19,10;5,70
24/10/2022 07:00:00;0,00;11,50;99,90;17,50;4,90
24/10/2022 06:00:00;0,00;11,20;99,80;23,90;4,50
24/10/2022 05:00:00;0,00;11,20;99,80;34,60;4,40
24/10/2022 04:00:00;0,00;11,30;99,60;55,80;4,70
24/10/2022 03:00:00;0,00;11,30;98,60;54,90;4,30
24/10/2022 02:00:00;0,00;11,60;96,30;61,80;4,10
24/10/2022 01:00:00;0,00;11,90;93,70;44,70;4,10
24/10/2022 00:00:00;0,00;11,90;95,00;40,40;5,20
23/10/2022 23:00:00;0,00;12,10;94,60;36,60;4,80
23/10/2022 22:00:00;0,00;12,60;89,90;62,50;4,20
23/10/2022 21:00:00;0,00;12,70;85,10;42,80;4,20
23/10/2022 20:00:00;0,00;13,00;80,50;46,80;4,40
23/10/2022 19:00:00;0,00;13,80;73,40;44,90;5,40
23/10/2022 18:00:00;0,00;14,90;64,90;40,80;4,90
23/10/2022 17:00:00;0,00;15,80;60,40;36,40;5,70
23/10/2022 16:00:00;0,00;16,30;60,10;42,80;6,20
23/10/2022 15:00:00;0,00;16,20;61,90;43,70;6,10
23/10/2022 14:00:00;0,00;15,50;62,20;34,30;5,40
23/10/2022 13:00:00;0,00;14,70;66,00;36,20;4,50
23/10/2022 12:00:00;0,00;12,40;77,40;47,10;5,40
23/10/2022 11:00:00;0,00;10,40;91,70;33,40;6,80
23/10/2022 10:00:00;0,00;8,00;99,80;33,40;7,00
23/10/2022 09:00:00;0,00;6,80;100,00;45,70;4,90
23/10/2022 08:00:00;0,00;6,60;99,80;58,60;4,40
23/10/2022 07:00:00;0,00;6,60;99,60;59,80;3,90
