cod_prov,pcia,fnyear,index obesity,sexo
2,CABA,2005,10.029545783996582,F
6,Buenos Aires,2005,13.529390335083008,F
10,Catamarca,2005,21.51483917236328,F
14,Cordoba,2005,12.809844017028809,F
18,Corrientes,2005,13.160723686218262,F
22,Chaco,2005,14.30628776550293,F
26,Chubut,2005,14.6654634475708,F
30,Entre Rios,2005,12.469231605529785,F
34,Formosa,2005,18.292512893676758,F
38,Jujuy,2005,14.043322563171387,F
42,La Pampa,2005,15.105645179748535,F
46,La Rioja,2005,19.15299415588379,F
50,Mendoza,2005,14.023889541625977,F
54,Misiones,2005,10.877420425415039,F
58,Neuquen,2005,16.491260528564453,F
62,Rio negro,2005,15.496528625488281,F
66,Salta,2005,14.208333015441895,F
70,San Juan,2005,18.330787658691406,F
74,San Luis,2005,15.217697143554688,F
78,Santa Cruz,2005,22.26067543029785,F
82,Santa Fe,2005,13.430802345275879,F
86,Santiago del Estero,2005,15.817838668823242,F
90,Tucuman,2005,18.429264068603516,F
94,Tierra del Fuego,2005,19.056167602539062,F
2,CABA,2006,9.881685018539429,F
6,Buenos Aires,2006,14.534451484680176,F
10,Catamarca,2006,20.964259147644043,F
14,Cordoba,2006,13.391058206558228,F
18,Corrientes,2006,14.391963243484497,F
22,Chaco,2006,14.574172973632812,F
26,Chubut,2006,15.333293199539185,F
30,Entre Rios,2006,13.18131422996521,F
34,Formosa,2006,18.311444759368896,F
38,Jujuy,2006,14.979053735733032,F
42,La Pampa,2006,14.927266120910645,F
46,La Rioja,2006,19.52955675125122,F
50,Mendoza,2006,15.37160587310791,F
54,Misiones,2006,11.756778478622437,F
58,Neuquen,2006,17.014010429382324,F
62,Rio negro,2006,15.55935549736023,F
66,Salta,2006,14.50595998764038,F
70,San Juan,2006,17.55954098701477,F
74,San Luis,2006,15.438174724578857,F
78,Santa Cruz,2006,22.5763578414917,F
82,Santa Fe,2006,14.770878553390503,F
86,Santiago del Estero,2006,16.589255332946777,F
90,Tucuman,2006,18.4154953956604,F
94,Tierra del Fuego,2006,18.684072971343994,F
2,CABA,2007,9.733824253082275,F
6,Buenos Aires,2007,15.539512634277344,F
10,Catamarca,2007,20.413679122924805,F
14,Cordoba,2007,13.972272396087646,F
18,Corrientes,2007,15.623202800750732,F
22,Chaco,2007,14.842058181762695,F
26,Chubut,2007,16.00112295150757,F
30,Entre Rios,2007,13.893396854400635,F
34,Formosa,2007,18.330376625061035,F
38,Jujuy,2007,15.914784908294678,F
42,La Pampa,2007,14.748887062072754,F
46,La Rioja,2007,19.906119346618652,F
50,Mendoza,2007,16.719322204589844,F
54,Misiones,2007,12.636136531829834,F
58,Neuquen,2007,17.536760330200195,F
62,Rio negro,2007,15.622182369232178,F
66,Salta,2007,14.803586959838867,F
70,San Juan,2007,16.788294315338135,F
74,San Luis,2007,15.658652305603027,F
78,Santa Cruz,2007,22.892040252685547,F
82,Santa Fe,2007,16.110954761505127,F
86,Santiago del Estero,2007,17.360671997070312,F
90,Tucuman,2007,18.401726722717285,F
94,Tierra del Fuego,2007,18.311978340148926,F
2,CABA,2008,9.585963487625122,F
6,Buenos Aires,2008,16.54457378387451,F
10,Catamarca,2008,19.863099098205566,F
14,Cordoba,2008,14.553486585617065,F
18,Corrientes,2008,16.854442358016968,F
22,Chaco,2008,15.109943389892578,F
26,Chubut,2008,16.668952703475952,F
30,Entre Rios,2008,14.60547947883606,F
34,Formosa,2008,18.349308490753174,F
38,Jujuy,2008,16.850516080856323,F
42,La Pampa,2008,14.570508003234863,F
46,La Rioja,2008,20.282681941986084,F
50,Mendoza,2008,18.067038536071777,F
54,Misiones,2008,13.515494585037231,F
58,Neuquen,2008,18.059510231018066,F
62,Rio negro,2008,15.685009241104126,F
66,Salta,2008,15.101213932037354,F
70,San Juan,2008,16.0170476436615,F
74,San Luis,2008,15.879129886627197,F
78,Santa Cruz,2008,23.207722663879395,F
82,Santa Fe,2008,17.45103096961975,F
86,Santiago del Estero,2008,18.132088661193848,F
90,Tucuman,2008,18.38795804977417,F
94,Tierra del Fuego,2008,17.939883708953857,F
2,CABA,2009,9.438102722167969,F
6,Buenos Aires,2009,17.54963493347168,F
10,Catamarca,2009,19.312519073486328,F
14,Cordoba,2009,15.134700775146484,F
18,Corrientes,2009,18.085681915283203,F
22,Chaco,2009,15.377828598022461,F
26,Chubut,2009,17.336782455444336,F
30,Entre Rios,2009,15.317562103271484,F
34,Formosa,2009,18.368240356445312,F
38,Jujuy,2009,17.78624725341797,F
42,La Pampa,2009,14.392128944396973,F
46,La Rioja,2009,20.659244537353516,F
50,Mendoza,2009,19.41475486755371,F
54,Misiones,2009,14.394852638244629,F
58,Neuquen,2009,18.582260131835938,F
62,Rio negro,2009,15.747836112976074,F
66,Salta,2009,15.39884090423584,F
70,San Juan,2009,15.245800971984863,F
74,San Luis,2009,16.099607467651367,F
78,Santa Cruz,2009,23.523405075073242,F
82,Santa Fe,2009,18.791107177734375,F
86,Santiago del Estero,2009,18.903505325317383,F
90,Tucuman,2009,18.374189376831055,F
94,Tierra del Fuego,2009,17.56778907775879,F
2,CABA,2010,10.024119138717651,F
6,Buenos Aires,2010,17.577054500579834,F
10,Catamarca,2010,19.69807004928589,F
14,Cordoba,2010,15.910275936126709,F
18,Corrientes,2010,17.781558513641357,F
22,Chaco,2010,17.04723834991455,F
26,Chubut,2010,19.11725902557373,F
30,Entre Rios,2010,15.963076114654541,F
34,Formosa,2010,18.447250843048096,F
38,Jujuy,2010,19.37043809890747,F
42,La Pampa,2010,15.051447629928589,F
46,La Rioja,2010,21.527647972106934,F
50,Mendoza,2010,19.088361740112305,F
54,Misiones,2010,16.0998637676239,F
58,Neuquen,2010,19.193968296051025,F
62,Rio negro,2010,16.68985104560852,F
66,Salta,2010,15.588200330734253,F
70,San Juan,2010,16.50044274330139,F
74,San Luis,2010,15.326829671859741,F
78,Santa Cruz,2010,23.083313465118408,F
82,Santa Fe,2010,19.98728895187378,F
86,Santiago del Estero,2010,19.27644634246826,F
90,Tucuman,2010,19.050578594207764,F
94,Tierra del Fuego,2010,17.70409107208252,F
2,CABA,2011,10.610135555267334,F
6,Buenos Aires,2011,17.60447406768799,F
10,Catamarca,2011,20.08362102508545,F
14,Cordoba,2011,16.685851097106934,F
18,Corrientes,2011,17.47743511199951,F
22,Chaco,2011,18.71664810180664,F
26,Chubut,2011,20.897735595703125,F
30,Entre Rios,2011,16.608590126037598,F
34,Formosa,2011,18.52626132965088,F
38,Jujuy,2011,20.954628944396973,F
42,La Pampa,2011,15.710766315460205,F
46,La Rioja,2011,22.39605140686035,F
50,Mendoza,2011,18.7619686126709,F
54,Misiones,2011,17.804874897003174,F
58,Neuquen,2011,19.805676460266113,F
62,Rio negro,2011,17.631865978240967,F
66,Salta,2011,15.777559757232666,F
70,San Juan,2011,17.75508451461792,F
74,San Luis,2011,14.554051876068115,F
78,Santa Cruz,2011,22.643221855163574,F
82,Santa Fe,2011,21.183470726013184,F
86,Santiago del Estero,2011,19.64938735961914,F
90,Tucuman,2011,19.726967811584473,F
94,Tierra del Fuego,2011,17.84039306640625,F
2,CABA,2012,11.196151971817017,F
6,Buenos Aires,2012,17.631893634796143,F
10,Catamarca,2012,20.46917200088501,F
14,Cordoba,2012,17.461426258087158,F
18,Corrientes,2012,17.173311710357666,F
22,Chaco,2012,20.38605785369873,F
26,Chubut,2012,22.67821216583252,F
30,Entre Rios,2012,17.254104137420654,F
34,Formosa,2012,18.605271816253662,F
38,Jujuy,2012,22.538819789886475,F
42,La Pampa,2012,16.37008500099182,F
46,La Rioja,2012,23.26445484161377,F
50,Mendoza,2012,18.435575485229492,F
54,Misiones,2012,19.509886026382446,F
58,Neuquen,2012,20.4173846244812,F
62,Rio negro,2012,18.573880910873413,F
66,Salta,2012,15.966919183731079,F
70,San Juan,2012,19.00972628593445,F
74,San Luis,2012,13.78127408027649,F
78,Santa Cruz,2012,22.20313024520874,F
82,Santa Fe,2012,22.379652500152588,F
86,Santiago del Estero,2012,20.02232837677002,F
90,Tucuman,2012,20.40335702896118,F
94,Tierra del Fuego,2012,17.97669506072998,F
2,CABA,2013,11.7821683883667,F
6,Buenos Aires,2013,17.659313201904297,F
10,Catamarca,2013,20.85472297668457,F
14,Cordoba,2013,18.237001419067383,F
18,Corrientes,2013,16.86918830871582,F
22,Chaco,2013,22.05546760559082,F
26,Chubut,2013,24.458688735961914,F
30,Entre Rios,2013,17.89961814880371,F
34,Formosa,2013,18.684282302856445,F
38,Jujuy,2013,24.123010635375977,F
42,La Pampa,2013,17.029403686523438,F
46,La Rioja,2013,24.132858276367188,F
50,Mendoza,2013,18.109182357788086,F
54,Misiones,2013,21.21489715576172,F
58,Neuquen,2013,21.02909278869629,F
62,Rio negro,2013,19.51589584350586,F
66,Salta,2013,16.156278610229492,F
70,San Juan,2013,20.264368057250977,F
74,San Luis,2013,13.008496284484863,F
78,Santa Cruz,2013,21.763038635253906,F
82,Santa Fe,2013,23.575834274291992,F
86,Santiago del Estero,2013,20.3952693939209,F
90,Tucuman,2013,21.07974624633789,F
94,Tierra del Fuego,2013,18.11299705505371,F
2,CABA,2014,11.859339714050293,F
6,Buenos Aires,2014,18.68457489013672,F
10,Catamarca,2014,23.218647003173828,F
14,Cordoba,2014,18.610066604614257,F
18,Corrientes,2014,18.35508460998535,F
22,Chaco,2014,21.453236389160157,F
26,Chubut,2014,25.359076309204102,F
30,Entre Rios,2014,18.52372169494629,F
34,Formosa,2014,19.163131713867188,F
38,Jujuy,2014,24.53095245361328,F
42,La Pampa,2014,18.442347717285156,F
46,La Rioja,2014,22.65231590270996,F
50,Mendoza,2014,18.744791793823243,F
54,Misiones,2014,21.372104263305665,F
58,Neuquen,2014,20.821892547607423,F
62,Rio negro,2014,20.793066787719727,F
66,Salta,2014,17.060010528564455,F
70,San Juan,2014,22.55532112121582,F
74,San Luis,2014,15.309259414672852,F
78,Santa Cruz,2014,22.556680297851564,F
82,Santa Fe,2014,23.676517486572266,F
86,Santiago del Estero,2014,21.80170135498047,F
90,Tucuman,2014,20.299766540527344,F
94,Tierra del Fuego,2014,17.87548713684082,F
2,CABA,2015,11.936511039733887,F
6,Buenos Aires,2015,19.709836578369142,F
10,Catamarca,2015,25.582571029663086,F
14,Cordoba,2015,18.98313179016113,F
18,Corrientes,2015,19.84098091125488,F
22,Chaco,2015,20.851005172729494,F
26,Chubut,2015,26.25946388244629,F
30,Entre Rios,2015,19.147825241088867,F
34,Formosa,2015,19.64198112487793,F
38,Jujuy,2015,24.938894271850586,F
42,La Pampa,2015,19.855291748046874,F
46,La Rioja,2015,21.171773529052736,F
50,Mendoza,2015,19.3804012298584,F
54,Misiones,2015,21.52931137084961,F
58,Neuquen,2015,20.614692306518556,F
62,Rio negro,2015,22.070237731933595,F
66,Salta,2015,17.963742446899413,F
70,San Juan,2015,24.846274185180665,F
74,San Luis,2015,17.61002254486084,F
78,Santa Cruz,2015,23.350321960449218,F
82,Santa Fe,2015,23.77720069885254,F
86,Santiago del Estero,2015,23.20813331604004,F
90,Tucuman,2015,19.519786834716797,F
94,Tierra del Fuego,2015,17.63797721862793,F
2,CABA,2016,12.01368236541748,F
