Nivel de incidencia de pobreza crónica,% de hogares con hacinamiento crítico,% de hogares con jefe/a con primario completo o menos,% de hogares con jefe/a con secundario incompleto o menos,% de hogares en vivienda deficitaria,% de hogares sin acceso a red cloacal,% de niños/as entre 6 y 17 años que no asisten a la escuela,% de población en situación de pobreza crónica,% de población sin obra social ni prepaga,% de población urbana,Población,link
Bajo (1 - 4.99%),3.49,18.93,31.02,12.74,4.50,4.31,3.55,27.79,100.56,188.280,02001
Muy bajo (0 - 0.99%),0.45,6.84,11.65,1.44,0.61,1.50,0.19,7.57,101.46,150.069,02002
Bajo (1 - 4.99%),2.13,18.22,30.21,5.55,1.62,2.92,1.47,20.95,100.19,181.518,02003
Bajo (1 - 4.99%),3.58,31.70,48.40,10.69,5.11,4.18,3.54,32.94,100.08,215.452,02004
Muy bajo (0 - 0.99%),1.07,15.35,25.83,3.26,1.10,2.19,0.73,14.06,100.19,175.012,02005
Muy bajo (0 - 0.99%),0.51,11.32,19.34,1.31,0.53,1.66,0.25,8.82,100.27,172.351,02006
Bajo (1 - 4.99%),2.49,21.18,34.83,6.99,2.16,3.36,2.05,26.05,100.19,216.538,02007
Bajo (1 - 4.99%),5.07,42.12,62.22,15.68,6.33,5.45,4.65,45.68,100.04,186.801,02008
Bajo (1 - 4.99%),1.43,28.47,44.54,3.45,1.92,3.59,1.22,25.45,100.09,159.751,02009
Muy bajo (0 - 0.99%),0.88,20.55,33.53,1.92,1.02,2.69,0.56,19.76,100.14,163.463,02010
Muy bajo (0 - 0.99%),0.54,17.17,28.95,1.37,0.88,2.01,0.32,14.51,100.24,185.382,02011
Muy bajo (0 - 0.99%),0.40,15.87,26.42,1.29,0.79,1.92,0.24,11.63,100.21,197.742,02012
Muy bajo (0 - 0.99%),0.39,8.78,15.03,1.39,0.47,1.46,0.12,6.93,100.76,226.136,02013
Muy bajo (0 - 0.99%),0.48,8.18,13.84,1.59,0.53,1.69,0.21,7.93,101.07,218.903,02014
Muy bajo (0 - 0.99%),1.08,17.72,29.30,2.91,1.50,2.73,0.86,16.07,100.23,179.358,02015
,,,,,,,,,,,02016
,,,,,,,,,,,02017
,,,,,,,,,,,02018
