Departamento,Código,Localidad,CodEnt,Entidad comprendida,CodAglo,CodProv,CodDepto,CodLoc,Provincia,Codigo Provincia,CodProvDepto,ID_DEPTO_INDEC_RESIDENCIA
Comuna 1,02001010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,001,010,CABA,02,02001,001
Comuna 2,02002010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,002,010,CABA,02,02002,002
Comuna 3,02003010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,003,010,CABA,02,02003,003
Comuna 4,02004010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,004,010,CABA,02,02004,004
Comuna 5,02005010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,005,010,CABA,02,02005,005
Comuna 6,02006010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,006,010,CABA,02,02006,006
Comuna 7,02007010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,007,010,CABA,02,02007,007
Comuna 8,02008010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,008,010,CABA,02,02008,008
Comuna 9,02009010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,009,010,CABA,02,02009,009
Comuna 10,02010010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,010,010,CABA,02,02010,010
Comuna 11,02011010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,011,010,CABA,02,02011,011
Comuna 12,02012010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,012,010,CABA,02,02012,012
Comuna 13,02013010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,013,010,CABA,02,02013,013
Comuna 14,02014010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,014,010,CABA,02,02014,014
Comuna 15,02015010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,015,010,CABA,02,02015,015
Comuna 16,02016010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,016,010,CABA,02,02016,016
Comuna 17,02017010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,017,010,CABA,02,02017,017
Comuna 18,02018010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,018,010,CABA,02,02018,018
Comuna 19,02019010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,019,010,CABA,02,02019,019
Comuna 20,02020010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,020,010,CABA,02,02020,020
Comuna 21,02021010,Ciudad de Buenos Aires,,Ciudad de Buenos Aires,0001,02,021,010,CABA,02,02021,021
Adolfo Alsina,06007010,Carhue,,Carhue,0283,06,007,010,Buenos Aires,06,06007,007
Adolfo Alsina,06007020,Colonia San Miguel Arcangel,,Colonia San Miguel Arcangel,1600.0,06,007,020,Buenos Aires,06,06007,007
Adolfo Alsina,06007030,Delfin Huergo,,Delfin Huergo,5043.0,06,007,030,Buenos Aires,06,06007,007
Adolfo Alsina,06007040,Espartillar,,Espartillar,1209.0,06,007,040,Buenos Aires,06,06007,007
Adolfo Alsina,06007050,Esteban Agustin Gascon,,Esteban Agustin Gascon,2121.0,06,007,050,Buenos Aires,06,06007,007
Adolfo Alsina,06007060,La Pala,,La Pala,5013.0,06,007,060,Buenos Aires,06,06007,007
Adolfo Alsina,06007070,Maza,,Maza,0884,06,007,070,Buenos Aires,06,06007,007
Adolfo Alsina,06007080,Rivera,,Rivera,0613,06,007,080,Buenos Aires,06,06007,007
Adolfo Alsina,06007090,Thames,,Thames,8000,06,007,090,Buenos Aires,06,06007,007
Adolfo Alsina,06007100,Margarita,,Margarita,5054.0,06,007,100,Buenos Aires,06,06007,007
Adolfo Alsina,06007110,Yutuyaco,,Yutuyaco,2161,06,007,110,Buenos Aires,06,06007,007
,,Yutuyaco,,Yutuyaco,,,000,,Buenos Aires,06,06000,000
Adolfo Gonzales Chaves,06014010,Adolfo Gonzales Chaves (Est. Chaves),,Adolfo Gonzales Chaves (Est. Chaves),0272,06,014,010,Buenos Aires,06,06014,014
Adolfo Gonzales Chaves,06014020,De la Garma,,De la Garma,0824,06,014,020,Buenos Aires,06,06014,014
Adolfo Gonzales Chaves,06014030,Juan E. Barra,,Juan E. Barra,2085.0,06,014,030,Buenos Aires,06,06014,014
Adolfo Gonzales Chaves,06014040,Vasquez,,Vasquez,5026.0,06,014,040,Buenos Aires,06,06014,014
Alberti,06021010,Alberti (Est. Andres Vaccarezza),,Alberti (Est. Andres Vaccarezza),0315,06,021,010,Buenos Aires,06,06021,021
Alberti,06021020,Coronel Segui,,Coronel Segui,2157.0,06,021,020,Buenos Aires,06,06021,021
Alberti,06021030,Mechita,,Mechita,0781,06,021,030,Buenos Aires,06,06021,021
Alberti,06021040,Pla,,Pla,2059.0,06,021,040,Buenos Aires,06,06021,021
Alberti,06021050,Grisolia (Est. Achupallas),,Grisolia (Est. Achupallas),2120.0,06,021,050,Buenos Aires,06,06021,021
Alberti,06021060,Maria,,Maria,2158.0,06,021,060,Buenos Aires,06,06021,021
Alberti,06021070,Ortiz (Est. Coronel Mom),,Ortiz (Est. Coronel Mom),1216.0,06,021,070,Buenos Aires,06,06021,021
Almirante Brown,06028010,Almirante Brown,,,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,01,Adrogue,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,02,Burzaco,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,03,Claypole,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,04,Don Orione,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,05,Glew,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,06,Jose Marmol,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,07,Longchamps,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,08,Malvinas Argentinas,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,09,Ministro Rivadavia,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,10,Rafael Calzada,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,11,San Francisco Solano,0001,06,028,010,Buenos Aires,06,06028,028
Almirante Brown,06028010,Almirante Brown,12,San Jose,0001,06,028,010,Buenos Aires,06,06028,028
Avellaneda,06035010,Avellaneda,,,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,01,Area Cinturon Ecologico,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,02,Avellaneda,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,03,Crucesita,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,04,Dock Sud,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,05,Gerli,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,06,Pineyro,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,07,Sarandi,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,08,Dominico,0001,06,035,010,Buenos Aires,06,06035,035
Avellaneda,06035010,Avellaneda,09,Wilde,0001,06,035,010,Buenos Aires,06,06035,035
Ayacucho,06042010,Ayacucho,,Ayacucho,0183,06,042,010,Buenos Aires,06,06042,042
Ayacucho,06042020,La Constancia,,La Constancia,2159.0,06,042,020,Buenos Aires,06,06042,042
