variable,coef,std err,z,P>|z|,[0.025,0.975]
salud,    7.0979,    6.743,    1.053, 0.293,   -6.119,   20.315
densidad_estimada,   22.0012,    4.222,    5.211, 0.000,   13.727,   30.276
index obesity,    4.8635,    7.471,    0.651, 0.515,   -9.780,   19.507
TEMP,   -0.8202,    2.288,   -0.358, 0.720,   -5.304,    3.664
HUM,   -0.3223,    2.595,   -0.124, 0.901,   -5.408,    4.764
PNM,   -1.9708,    2.548,   -0.774, 0.439,   -6.964,    3.023
DD,   -2.3932,    2.602,   -0.920, 0.358,   -7.493,    2.707
FF,    1.3423,    3.582,    0.375, 0.708,   -5.678,    8.363
ar.L1,   -0.5953,    0.035,  -16.842, 0.000,   -0.665,   -0.526
ar.L2,    0.6185,    0.042,   14.611, 0.000,    0.535,    0.701
ar.L3,    0.2349,    0.037,    6.416, 0.000,    0.163,    0.307
ma.L1,    0.0303,    0.017,    1.789, 0.074,   -0.003,    0.063
ma.L2,   -0.9648,    0.016,  -59.256, 0.000,   -0.997,   -0.933
sigma2,   14.5052,    0.687,   21.099, 0.000,   13.158,   15.853
