variable,coef,std err,z,P>|z|,[0.025,0.975]
salud,    2.8507,    3.182,    0.896, 0.370,   -3.386,    9.087
densidad_estimada,   13.7270,   12.711,    1.080, 0.280,  -11.187,   38.641
index obesity,    3.5479,    2.503,    1.418, 0.156,   -1.357,    8.453
TEMP,   -2.0974,    2.444,   -0.858, 0.391,   -6.888,    2.693
HUM,   -1.3384,    2.531,   -0.529, 0.597,   -6.298,    3.621
PNM,   -3.9601,    2.780,   -1.424, 0.154,   -9.409,    1.489
DD,    0.5741,    1.898,    0.302, 0.762,   -3.146,    4.294
FF,    3.8193,    3.385,    1.128, 0.259,   -2.816,   10.455
ar.L1,    0.0250,    1.176,    0.021, 0.983,   -2.281,    2.331
ar.L2,    0.3307,    0.522,    0.634, 0.526,   -0.692,    1.354
ar.L3,    0.0913,    0.175,    0.521, 0.602,   -0.252,    0.434
ma.L1,   -0.5468,    1.181,   -0.463, 0.643,   -2.861,    1.768
ma.L2,   -0.3958,    1.128,   -0.351, 0.726,   -2.606,    1.814
sigma2,   17.1242,    0.829,   20.653, 0.000,   15.499,   18.749
